time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1668525377977000000,-0.523,0,0,0,1000,0,0,0,6.5806459,46.5205607
1668525383005000000,4.505,0,0,0,1000,0,0,0,6.5806459,46.5205607
1668525388055000000,9.555,0,0,0,1000,0,0,0,6.5806459,46.5205607
1668525393064000000,14.564,0,0,0,1000,0,0,0,6.5806459,46.5205607
1668525398093000000,19.593,0,0,0,800,0,0,0,6.583803,46.5218895
1668525403107000000,24.607,0,0,0,1000,0,0,0,6.5806459,46.5205607
1668525408253000000,29.753,0,0,0,1000,0,0,0,6.5806459,46.5205607
1668525441255000000,62.755,0,0,0,800,0,0,0,6.583803,46.5218895
1668525450685000000,72.185,0,0,8.195294380187988,82.5,0,0,444.79998779296875,6.5796812,46.5228173
1668525455732000000,77.232,0,0,26.625600814819336,116.0999984741211,0,0,447.6000061035156,6.5842337,46.5219429
1668525468726000000,90.22600024414062,0,0,31.1740779876709,87.5999984741211,0,0,442.6000061035156,6.5831424,46.5215658
1668525473667000000,95.167,0,0,48.93571472167969,58.459999084472656,0,0,432,6.5829818,46.521337
1668525478747000000,100.247,0,0,99.07099914550781,98.4000015258789,0,0,432,6.5830985,46.521476
1668525483785000000,105.285,0,0,18.489999771118164,98.4000015258789,0,0,447.6000061035156,6.58424,46.5219522
1668525488801000000,110.301,0,0,23.401405334472656,110,0,0,447.6000061035156,6.5842334,46.521947
1668525493813000000,115.313,0,0,19.433128356933594,64.0999984741211,0,0,447.6000061035156,6.5836879,46.521741
1668525498837000000,120.337,0,0,23.53024673461914,61.50400161743164,0,0,442.6000061035156,6.5828879,46.5212867
1668525503854000000,125.35400024414062,0,0,16.840835571289062,33.7760009765625,0,0,435.8999938964844,6.5825594,46.5212145
1668525511660000000,133.16,0,0,13.32470703125,37.00899887084961,0,0,435.8999938964844,6.5825422,46.5212183
1668525519660000000,141.16,0,0,27.97890853881836,54.624000549316406,0,0,435.8999938964844,6.58253,46.5211658
1668525524708000000,146.208,0,0,11.807598114013672,28.739999771118164,0,0,435.8999938964844,6.5825784,46.5210935
1668525529763000000,151.263,0,0,7.485966682434082,31.197999954223633,0,0,435.8999938964844,6.5826392,46.5211228
1668525561373000000,182.873,0,0,2.3129143714904785,21.187000274658203,0,0,435.79998779296875,6.5827437,46.5213706
1668525595250000000,216.74999975585936,0,0,20.729272842407227,104.0999984741211,0,0,431,6.5863941,46.5214514
1668525598982000000,220.48200024414064,0,0,0,1000,0,0,0,6.5851404,46.5215103
1668525621927000000,243.427,0,0,0,800,0,0,0,6.5873811,46.5234961
1668525646954000000,268.4539997558594,0,0,0,1100,0,0,0,6.5863263,46.5235569
1668525651996000000,273.496,0,0,0,1100,0,0,0,6.5863263,46.5235569
1668525660093000000,281.593,0,0,0,1100,0,0,0,6.5863263,46.5235569
1668525665060000000,286.56,0,0,0,1100,0,0,0,6.5863263,46.5235569
1668525670075000000,291.575,0,0,0,1100,0,0,0,6.5863263,46.5235569
1668525675171000000,296.671,0,0,0,699.9990234375,0,0,0,6.5868158,46.524133
1668525680265000000,301.765,0,0,0,699.9990234375,0,0,0,6.5868158,46.524133
1668525685277000000,306.777,0,0,0,1299.9990234375,0,0,0,6.587657,46.5246888
1668525690454000000,311.9540002441406,0,0,0,699.9990234375,0,0,0,6.5868158,46.524133
1668525695287000000,316.787,0,0,0,699.9990234375,0,0,0,6.5868158,46.524133
1668525700460000000,321.96,0,0,0,1100,0,0,0,6.5863263,46.5235569
1668525708099000000,329.599,0,0,20.729272842407227,104.0999984741211,0,0,446.79998779296875,6.5842768,46.5238599
1668525713217000000,334.717,0,0,0,1299.9990234375,0,0,0,6.587657,46.5246888
1668525718247000000,339.747,0,0,0,699.9990234375,0,0,0,6.5868158,46.524133
1668525723278000000,344.7780002441406,0,0,0,1299.9990234375,0,0,0,6.587657,46.5246888
1668525728317000000,349.817,0,0,0,1299.9990234375,0,0,0,6.587657,46.5246888
1668525733338000000,354.83799975585936,0,0,0,1299.9990234375,0,0,0,6.587657,46.5246888
1668525738395000000,359.895,0,0,0,1299.9990234375,0,0,0,6.587657,46.5246888
1668525743413000000,364.913,0,0,0,699.9990234375,0,0,0,6.5868158,46.524133
1668525748436000000,369.936,0,0,0,1100,0,0,0,6.5863263,46.5235569
1668525753480000000,374.98,0,0,0,1100,0,0,0,6.5863263,46.5235569
1668525758519000000,380.019,0,0,0,1299.9990234375,0,0,0,6.587657,46.5246888
1668525763568000000,385.068,0,0,0,1100,0,0,0,6.5863263,46.5235569
1668525771274000000,392.7739997558594,0,0,35.44828414916992,128.8990020751953,0,0,446.79998779296875,6.584266,46.5238496
1668525773633000000,395.133,0,0,0,699.9990234375,0,0,0,6.5868158,46.524133
1668525778666000000,400.1659997558594,0,0,0,1299.9990234375,0,0,0,6.587657,46.5246888
