time,seconds_elapsed,relativeAltitude,pressure
1668525188021069000,-190.47893090820313,0,965.287109375
1668525188061069000,-190.43893090820313,0,965.287109375
1668525188101069000,-190.3989309082031,-0.147979736328125,965.303955078125
1668525188141069000,-190.35893090820312,-0.369903564453125,965.329833984375
1668525188181069600,-190.31893041992188,0.169097900390625,965.267578125
1668525188221069300,-190.2789306640625,0.214019775390625,965.26220703125
1668525188261069000,-190.23893090820312,-0.33819580078125,965.325927734375
1668525188301069000,-190.19893090820312,-0.30914306640625,965.32275390625
1668525188341069000,-190.15893090820313,-0.087188720703125,965.297119140625
1668525188381068800,-190.11893115234375,0.039642333984375,965.282470703125
1668525188421069300,-190.0789306640625,-0.050201416015625,965.292724609375
1668525188461069300,-190.0389306640625,0.124176025390625,965.272705078125
1668525188501069000,-189.99893090820314,0.13739013671875,965.27099609375
1668525188541069600,-189.95893041992187,-0.021148681640625,965.28955078125
1668525188581069300,-189.9189306640625,0.124176025390625,965.272705078125
1668525188621069800,-189.87893017578125,0.174407958984375,965.266845703125
1668525188661070000,-189.83892993164062,-0.0079345703125,965.287841796875
1668525188701069300,-189.7989306640625,-0.095123291015625,965.298095703125
1668525188741069000,-189.75893090820313,-0.11627197265625,965.300537109375
1668525188781069800,-189.71893017578125,0.0528564453125,965.281005859375
1668525188821069800,-189.67893017578126,0.005279541015625,965.286376953125
1668525188861069300,-189.6389306640625,-0.37255859375,965.330078125
1668525188901069600,-189.59893041992189,-0.142669677734375,965.303466796875
1668525188941069300,-189.5589306640625,-0.32763671875,965.32470703125
1668525188981069800,-189.51893017578124,0.2906494140625,965.25341796875
1668525189021069600,-189.47893041992188,0.486175537109375,965.230712890625
1668525189061070300,-189.4389296875,-0.62884521484375,965.359619140625
1668525189101069000,-189.3989309082031,0.19818115234375,965.26416015625
1668525189141069000,-189.35893090820312,0.150604248046875,965.26953125
1668525189181069000,-189.31893090820313,0.253662109375,965.2578125
1668525189221068800,-189.27893115234374,-0.076629638671875,965.2958984375
1668525189261068800,-189.23893115234375,-0.5654296875,965.352294921875
1668525189301068800,-189.19893115234376,-0.00262451171875,965.287353515625
1668525189341068800,-189.15893115234374,-0.613006591796875,965.35791015625
1668525189381069300,-189.1189306640625,-0.8428955078125,965.38427734375
1668525189421070300,-189.0789296875,-0.63677978515625,965.3603515625
1668525189461069600,-189.03893041992188,-0.412200927734375,965.334716796875
1668525189501069000,-188.99893090820314,-0.459747314453125,965.340087890625
1668525189541069000,-188.95893090820311,-0.613006591796875,965.357666015625
1668525189581069800,-188.91893017578124,-0.17437744140625,965.30712890625
1668525189621069000,-188.87893090820313,0.0819091796875,965.277587890625
1668525189661071400,-188.8389287109375,-0.097747802734375,965.29833984375
1668525189701069300,-188.7989306640625,-0.44390869140625,965.33837890625
1668525189741069000,-188.75893090820313,-0.158538818359375,965.305419921875
1668525189781069800,-188.71893017578125,-0.48089599609375,965.342529296875
1668525189821069300,-188.6789306640625,-0.2906494140625,965.320556640625
1668525189861069300,-188.6389306640625,-0.0369873046875,965.291259765625
1668525189901069000,-188.59893090820313,-0.05548095703125,965.29345703125
1668525189941069300,-188.5589306640625,-0.41748046875,965.335205078125
1668525189981069300,-188.5189306640625,-0.7979736328125,965.379150390625
1668525190021070000,-188.47892993164064,-0.348785400390625,965.327392578125
1668525190061069000,-188.43893090820313,-0.401611328125,965.33349609375
1668525190101068800,-188.39893115234375,-0.7371826171875,965.3720703125
1668525190141068800,-188.35893115234376,-0.97235107421875,965.3994140625
1668525190181069000,-188.31893090820313,-0.494110107421875,965.343994140625
1668525190221069000,-188.27893090820314,-0.77947998046875,965.376953125
1668525190261069000,-188.23893090820312,0.89044189453125,965.18408203125
1668525190301069000,-188.19893090820312,0.412200927734375,965.2392578125
1668525190341069000,-188.15893090820313,-0.195526123046875,965.3095703125
1668525190381069000,-188.1189309082031,0.174407958984375,965.266845703125
1668525190421069000,-188.07893090820312,0.1558837890625,965.26904296875
1668525190461069000,-188.03893090820313,-0.079254150390625,965.296142578125
1668525190501069800,-187.99893017578125,-0.158538818359375,965.30517578125
1668525190541069600,-187.95893041992187,-0.72662353515625,965.370849609375
1668525190581069800,-187.91893017578124,-0.30914306640625,965.32275390625
1668525190621069300,-187.8789306640625,-0.36199951171875,965.328857421875
1668525190661070300,-187.8389296875,-0.3355712890625,965.32568359375
1668525190701071600,-187.79892846679687,-0.26422119140625,965.317626953125
1668525190741070300,-187.7589296875,-0.6632080078125,965.363525390625
1668525190781070000,-187.71892993164062,-0.7979736328125,965.379150390625
1668525190821070600,-187.67892944335938,-0.549591064453125,965.350341796875
1668525190861069000,-187.63893090820312,-0.214019775390625,965.311767578125
1668525190901069800,-187.59893017578125,-0.46240234375,965.34033203125
1668525190941070000,-187.55892993164062,-0.72662353515625,965.370849609375
1668525190981069800,-187.51893017578124,-0.9248046875,965.393798828125
1668525191021069800,-187.47893017578124,-0.866668701171875,965.38720703125
1668525191061070300,-187.4389296875,-1.2154541015625,965.427490234375
1668525191101070000,-187.39892993164062,-0.55487060546875,965.35107421875
1668525191141070000,-187.35892993164063,-0.64471435546875,965.361328125
1668525191181069600,-187.31893041992188,-0.613006591796875,965.357666015625
1668525191221069800,-187.27893017578126,-0.293304443359375,965.32080078125
1668525191261069000,-187.23893090820312,0.058135986328125,965.2802734375
1668525191301069000,-187.19893090820312,-0.404266357421875,965.333740234375
1668525191341069300,-187.1589306640625,0.2457275390625,965.258544921875
1668525191381069300,-187.1189306640625,-0.11627197265625,965.300537109375
1668525191421069800,-187.07893017578124,-0.158538818359375,965.30517578125
1668525191461069800,-187.03893017578125,-0.042266845703125,965.291748046875
1668525191501070600,-186.99892944335937,0.2615966796875,965.256591796875
1668525191541069600,-186.95893041992187,-0.31707763671875,965.323486328125
1668525191581070000,-186.91892993164063,-0.602447509765625,965.356689453125
